Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Customer_Status_Predicted
154886-KER,Female,84,Yes,Delhi,10,3,Deal 1,Yes,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,84.53069337317305,253.5920801195192,0.0,0,129.04,382.6320801195192,Joined,Others,Others,1
818315-UPR,Female,43,Yes,Delhi,13,3,Deal 3,Yes,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,96.6927882762333,290.0783648286999,0.0,0,345.48,635.5583648287,Joined,Others,Others,1
765987-PUN,Female,36,No,Delhi,10,3,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,Yes,Yes,No,No,Month-to-Month,No,Bank Withdrawal,78.78550944494722,236.3565283348417,0.0,0,334.4,570.7565283348416,Joined,Others,Others,1
679879-TAM,Female,33,No,Punjab,2,1,Deal 3,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Mailed Check,72.42737073873944,72.42737073873944,47.97,0,385.18,409.6373707387395,Joined,Others,Others,1
277789-MAH,Female,28,No,West Bengal,4,2,Deal 2,Yes,No,Yes,DSL,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,50.06055323068949,100.121106461379,0.0,0,483.16,583.281106461379,Joined,Others,Others,1
722794-RAJ,Female,21,No,Delhi,11,1,Deal 5,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Yes,No,Month-to-Month,No,Bank Withdrawal,74.81782193957804,74.81782193957804,0.0,20,460.12,534.937821939578,Joined,Others,Others,1
659042-WES,Female,21,No,Delhi,4,2,Deal 2,Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,61.44922119187162,122.8984423837432,30.39,0,65.32,157.8284423837433,Joined,Others,Others,1
987121-RAJ,Female,51,No,Gujarat,12,1,Deal 1,Yes,No,Yes,DSL,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,60.39812457718819,60.39812457718819,0.0,0,90.16,150.5581245771882,Joined,Others,Others,1
730271-DEL,Female,34,No,Rajasthan,10,1,Deal 5,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,65.46818024150404,65.46818024150404,0.0,0,87.9,153.368180241504,Joined,Others,Others,1
929957-WES,Female,44,No,Punjab,3,2,Deal 1,No,Yes,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,82.82630984749858,165.6526196949972,0.0,0,166.5,332.1526196949972,Joined,Others,Others,1
748307-TAM,Female,45,Yes,Delhi,9,2,Deal 1,Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Mailed Check,82.847009288762,165.694018577524,0.0,0,422.28,587.974018577524,Joined,Others,Others,1
335362-MAH,Female,23,Yes,Delhi,4,2,Deal 4,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,65.15948688357398,130.318973767148,0.0,0,286.66,416.978973767148,Joined,Others,Others,1
